name,team,position,age,gamesPlayed,mpg,min%,usg%,to%,fta,ft%,2pa,2p%,3pa,3p%,efg%,ts%,ppg,rpg,trb%,apg,ast%,spg,bpg,topg,vi,ortg,drtg
Precious Achiuwa,Tor,F,23.37,29,22.1,46,20.1,11.2,78,0.718,174,0.569,60,0.25,0.519,0.557,10.3,6.4,16.3,1,6.7,0.62,0.69,1.17,7.3,113.7,107.9
Steven Adams,Mem,C,29.54,42,27,56.2,14.3,19.8,129,0.364,262,0.599,1,0,0.597,0.564,8.6,11.5,22.4,2.3,11.2,0.86,1.1,1.88,9,116.7,102.3
Bam Adebayo,Mia,C-F,25.55,47,35.1,73.1,26.1,12.6,250,0.788,737,0.545,10,0.1,0.54,0.586,21.4,10,16.4,3.1,15.6,1.15,0.81,2.62,9.9,114.7,103.1
Ochai Agbaji,Uta,G,22.79,30,13,27,11.8,8.3,16,0.625,40,0.625,53,0.377,0.591,0.6,4,1.6,6.9,0.5,4.7,0.13,0.13,0.3,4.5,122.9,111.8
Santi Aldama,Mem,F-C,22.06,48,21.7,45.2,15.3,7.9,90,0.711,156,0.609,166,0.367,0.579,0.604,9.1,4.6,11,1.2,7.3,0.67,0.69,0.65,6.8,124.4,104.3
Nickeil Alexander-Walker,Uta,G,24.42,35,14.9,31.1,18.4,19.2,39,0.692,81,0.593,87,0.402,0.598,0.616,6.5,1.7,6.2,2.2,20.3,0.69,0.4,1.26,7.8,112.7,107.9
Grayson Allen,Mil,G,27.32,47,27.4,57.1,14.9,11.6,95,0.905,139,0.511,224,0.402,0.567,0.615,10.6,3.5,6.7,2.6,12.9,0.87,0.21,1.13,6.7,124.4,109.6
Jarrett Allen,Cle,C,24.79,46,33,68.8,16.3,12.3,157,0.713,409,0.645,8,0.125,0.637,0.661,14,9.7,17.3,1.6,7.4,0.83,1.17,1.48,7.3,129.5,104.5
Jose Alvarado,Nor,G,24.81,51,22,45.9,19.8,13.1,75,0.813,206,0.476,217,0.341,0.494,0.525,9.4,2.4,6.2,3.2,20.1,1.18,0.16,1.35,7.6,107,105.6
Kyle Anderson,Min,F-G,29.37,43,27,56.3,13.7,16.6,92,0.75,209,0.517,62,0.435,0.548,0.588,8.5,4.8,10,4.2,20.1,1.19,0.88,1.44,8.2,118.8,107.2
Giannis Antetokounmpo,Mil,F,28.16,40,33.4,69.7,38.6,13.2,528,0.646,718,0.579,120,0.275,0.555,0.594,31.8,12.2,18.9,5.2,29.9,0.8,0.83,4.08,15.1,114.9,99.3
Thanasis Antetokounmpo,Mil,F,30.54,22,4.2,8.7,12.1,26.3,6,0.5,13,0.308,4,0,0.235,0.28,0.5,1,12.4,0.2,5.3,0.09,0.14,0.32,4.4,67.2,102.6
Cole Anthony,Orl,G,22.72,34,25.4,53,21,12.4,99,0.899,208,0.49,116,0.328,0.491,0.554,12,4.6,10.2,4,23.4,0.65,0.53,1.53,9.5,113.8,106.9
O.G. Anunoby,Tor,F,25.55,45,35.8,74.6,20.4,12.7,134,0.821,382,0.513,235,0.366,0.527,0.562,16.9,5.5,8.7,2,8.3,2.07,0.78,2.18,6.4,108.8,109
Ryan Arcidiacono,Nyk,G,28.86,11,2.4,5,9.7,16.7,0,0,2,0,3,0.333,0.3,0.3,0.3,0.4,8.1,0.2,9.4,0.18,0,0.09,4.8,N/A,N/A
Deni Avdija,Was,F,22.08,48,26.2,54.5,15.7,15.1,98,0.755,204,0.544,140,0.286,0.497,0.537,8.7,6.3,13.1,2.5,12.8,0.83,0.54,1.44,7.9,107.7,103
Deandre Ayton,Pho,C,24.53,44,29.8,62.1,24.2,12.1,130,0.715,573,0.585,23,0.304,0.58,0.6,17.8,10.1,18.8,2.1,11.6,0.48,0.66,2.05,9.7,115.7,104.8
